antecedents,consequents,support,confidence,lift
frozenset({'burgers'}),frozenset({'eggs'}),0.02879616051193174,0.33027522935779813,1.8378297443715457
frozenset({'cake'}),frozenset({'mineral water'}),0.027463004932675644,0.33881578947368424,1.4213966649005065
frozenset({'chicken'}),frozenset({'mineral water'}),0.022796960405279298,0.38000000000000006,1.5941722595078303
frozenset({'chocolate'}),frozenset({'mineral water'}),0.05265964538061592,0.3213995117982099,1.3483320682317521
frozenset({'cooking oil'}),frozenset({'mineral water'}),0.020130649246767097,0.3942558746736292,1.6539783646123563
frozenset({'frozen smoothie'}),frozenset({'mineral water'}),0.020263964804692707,0.32,1.342460850111857
frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.03572856952406346,0.37482517482517486,1.57246288387228
frozenset({'ground beef'}),frozenset({'mineral water'}),0.040927876283162246,0.41655359565807326,1.7475215442008991
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.03919477403012932,0.3989145183175034,2.291162176033379
frozenset({'low fat yogurt'}),frozenset({'mineral water'}),0.023996800426609784,0.313588850174216,1.315564857470243
frozenset({'milk'}),frozenset({'mineral water'}),0.04799360085321957,0.3703703703703704,1.5537741320739085
frozenset({'olive oil'}),frozenset({'mineral water'}),0.027596320490601255,0.4190283400809717,1.7579035676439423
frozenset({'pancakes'}),frozenset({'mineral water'}),0.03372883615517931,0.3548387096774194,1.4886158620191963
frozenset({'shrimp'}),frozenset({'mineral water'}),0.023596853752832957,0.3302238805970149,1.385351973354703
frozenset({'soup'}),frozenset({'mineral water'}),0.023063591521130515,0.45646437994722955,1.9149548735929356
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.05972536995067324,0.3430321592649311,1.4390851379453289
frozenset({'tomatoes'}),frozenset({'mineral water'}),0.024396747100386616,0.3567251461988304,1.4965298219448695
frozenset({'whole wheat rice'}),frozenset({'mineral water'}),0.020130649246767097,0.3439635535307517,1.4429925140012128
frozenset({'olive oil'}),frozenset({'spaghetti'}),0.022930275963204905,0.3481781376518219,1.999758201015556
frozenset({'tomatoes'}),frozenset({'spaghetti'}),0.020930542594320756,0.3060428849902534,1.7577547322449394
